JOUR,O3obs,MOCAGE,TEMPE,RMH2O,NO2,STATION,VentMOD,VentANG,NO
1,163,123.7,25.4,0.01058,2.701,Aix,6.3008,0.01587,0.596
0,121,146.2,23.3,0.01343,18.234,Aix,4.7854,1.11649,3.773
0,93,126.1,26.6,0.01217,3.187,Aix,6.0133,-0.06657,0.669
0,108,122.4,22.1,0.01872,8.698,Aix,6.4444,0.73051,2.038
0,91,99.7,24.7,0.00754,2.109,Aix,11.2058,-0.57563,0.502
0,129,122.4,24.5,0.00921,5.359,Aix,6.9354,0.7446,1.146
1,89,146.5,24.9,0.01134,2.336,Aix,6.5765,-0.49085,0.362
1,145,145.2,28.1,0.01342,4.691,Aix,7.4653,0.68102,0.808
0,124,127.3,28.0,0.01123,6.486,Aix,7.1344,1.02557,1.292
0,132,125.9,26.9,0.01173,9.414,Aix,6.2936,0.77416,2.22
0,96,183.4,26.3,0.01483,4.334,Aix,5.4452,-0.12891,0.58
0,116,117.0,28.9,0.01007,2.743,Aix,6.36,-0.28694,0.541
0,132,128.4,30.0,0.01023,2.81,Aix,6.562,-0.13759,0.508
1,93,74.1,24.9,0.00984,1.045,Aix,9.426,-0.71783,0.337
0,117,159.1,20.1,0.01962,3.127,Aix,5.4626,-0.41451,0.432
0,96,143.3,23.7,0.01534,2.125,Aix,12.1017,-0.74449,0.362
0,111,119.9,28.4,0.01138,1.823,Aix,10.6042,-0.6718,0.334
0,184,168.5,29.0,0.009,3.827,Aix,6.7119,-0.05963,0.612
1,170,133.4,28.3,0.01188,4.647,Aix,6.7231,0.53022,0.807
1,148,125.6,28.5,0.01537,11.48,Aix,4.6615,0.61776,2.414
0,109,154.3,31.1,0.00833,3.415,Aix,5.8669,-0.51703,0.472
0,222,133.9,29.5,0.01456,3.339,Aix,5.7079,-0.05258,0.572
0,80,72.6,27.6,0.01205,1.051,Aix,12.4483,-0.80812,0.29
0,108,105.7,25.8,0.01035,1.704,Aix,12.5607,-0.70085,0.358
0,156,137.1,28.6,0.01256,2.686,Aix,5.5731,0.1622,0.452
1,126,136.8,27.1,0.0138,7.755,Aix,6.2968,0.81909,1.464
1,130,150.6,26.6,0.01577,4.65,Aix,5.6851,0.68573,0.768
0,182,229.2,22.1,0.02486,18.303,Aix,5.0931,0.81317,2.153
0,107,147.6,24.7,0.01716,6.163,Aix,5.4818,0.25825,1.073
0,148,155.2,30.0,0.01172,5.587,Aix,6.044,0.67991,0.847
1,171,163.9,30.3,0.01441,7.945,Aix,6.162,0.72799,1.181
0,157,148.5,32.2,0.01424,4.842,Aix,6.5947,0.71027,0.741
0,181,146.6,32.7,0.01151,5.193,Aix,7.0831,0.53316,0.809
0,155,157.5,32.2,0.0179,5.705,Aix,5.7689,0.588,0.984
0,191,149.6,31.8,0.0152,7.863,Aix,6.3702,0.82981,1.276
1,202,143.2,32.5,0.01549,4.628,Aix,7.161,0.62674,0.79
1,176,128.5,31.6,0.01332,4.274,Aix,7.1028,0.61534,0.768
0,183,184.0,32.8,0.01814,4.56,Aix,7.4404,0.63275,0.544
0,255,191.2,34.1,0.01693,10.559,Aix,7.0725,0.8054,1.254
0,185,176.9,32.6,0.02004,10.608,Aix,7.2863,0.75628,1.396
0,193,207.7,32.5,0.01941,8.263,Aix,6.7417,0.56332,0.981
1,197,205.9,32.1,0.01722,7.736,Aix,6.5307,0.4431,0.856
0,136,126.1,32.5,0.01247,1.968,Aix,7.9076,-0.16515,0.319
1,141,91.8,23.3,0.00714,13.654,Aix,6.0803,0.93716,4.015
0,103,130.0,25.1,0.00431,6.631,Aix,6.1033,-1.53802,1.206
0,90,95.8,21.1,0.00442,2.756,Aix,8.6833,-0.50486,0.745
1,91,121.5,18.0,0.00558,3.785,Aix,12.5495,-0.71208,0.855
0,93,110.1,19.8,0.00373,4.416,Aix,7.3055,-0.33474,1.101
0,93,163.1,19.0,0.0069,30.934,Aix,3.9319,0.12751,5.006
0,119,119.4,20.9,0.00414,4.848,Aix,4.3463,-0.40187,1.069
0,124,129.6,22.0,0.00569,2.584,Aix,7.518,-0.49935,0.483
1,87,102.5,18.9,0.00956,4.836,Aix,5.3535,-0.57246,1.289
1,107,116.9,20.0,0.00637,6.632,Aix,6.3789,0.23737,1.635
0,106,81.4,14.5,0.00969,22.496,Aix,0.9434,-0.5586,8.513
0,77,122.0,16.0,0.01097,4.776,Aix,3.9205,-0.65881,0.94
0,82,101.0,15.6,0.00599,3.834,Aix,11.9808,-0.65519,1.098
0,93,131.5,22.9,0.00404,5.167,Aix,5.9464,-0.34302,1.057
0,117,118.1,21.6,0.0065,19.528,Aix,6.4382,0.75244,4.996
1,115,93.4,22.0,0.00555,12.768,Aix,6.1294,1.07796,4.025
1,117,134.9,23.2,0.0054,2.606,Aix,4.826,-0.97705,0.498
0,87,102.0,20.5,0.00635,2.886,Aix,11.6825,-0.66405,0.758
0,111,117.9,24.0,0.00669,4.662,Aix,6.0166,-0.26917,1.072
0,116,169.5,24.8,0.0119,11.374,Aix,4.7011,0.51123,1.846
0,144,190.1,24.5,0.01167,7.578,Aix,5.0567,0.42826,1.031
0,155,150.8,25.3,0.01021,9.947,Aix,5.5866,0.77274,1.778
1,183,155.1,25.1,0.01015,5.715,Aix,5.7585,0.35471,0.965
1,134,158.0,25.5,0.01045,6.063,Aix,5.0606,0.5167,1.08
0,82,115.9,27.3,0.01517,2.534,Aix,9.6177,-0.77069,0.477
0,90,106.7,24.3,0.01129,5.547,Aix,5.0912,-0.7854,1.45
0,151,148.9,25.0,0.0095,4.297,Aix,5.101,0.01961,0.722
0,188,167.8,24.0,0.01242,3.99,Aix,2.8071,0.07131,0.597
0,142,170.0,24.9,0.01156,3.398,Aix,4.4598,0.34302,0.458
1,85,127.8,26.3,0.00439,2.868,Aix,7.4404,-0.63275,0.592
1,90,94.9,25.5,0.00407,3.212,Aix,10.3856,-0.67624,0.907
0,68,101.6,25.4,0.00597,3.125,Aix,11.7456,-0.74927,0.795
0,98,123.6,19.5,0.00778,6.765,Aix,7.0292,0.87606,1.659
0,111,106.3,21.9,0.00495,3.546,Aix,5.8189,-0.33262,0.922
0,131,145.0,20.2,0.00686,5.6,Aix,6.6129,0.35523,1.143
1,102,132.8,20.0,0.00772,10.051,Aix,6.0877,0.83188,2.395
1,112,122.4,21.8,0.00688,6.876,Aix,6.2097,1.31019,1.574
0,104,137.2,25.0,0.00809,4.961,Aix,6.691,-1.40565,0.924
0,109,156.4,25.7,0.00717,4.264,Aix,6.0415,-0.50067,0.692
0,117,124.2,28.5,0.00827,2.455,Aix,6.7417,-0.36398,0.482
0,139,178.4,29.3,0.00922,3.877,Aix,6.5307,0.2004,0.516
1,229,173.2,28.6,0.00977,5.366,Aix,5.6436,0.51915,0.763
0,169,194.6,27.5,0.01235,4.596,Aix,4.3863,0.42285,0.569
0,122,177.1,29.3,0.01167,4.776,Aix,5.8669,0.51703,0.682
0,163,188.8,27.3,0.01504,4.38,Aix,1.5811,0.60554,0.478
0,123,163.7,27.6,0.01125,8.893,Aix,4.3417,0.50486,1.441
0,116,153.5,28.2,0.01078,14.289,Aix,6.7201,0.93325,2.492
1,117,152.0,28.4,0.00954,11.102,Aix,6.229,0.73997,1.931
1,118,160.1,30.3,0.00878,7.62,Aix,6.3253,0.68462,1.184
0,115,165.8,31.1,0.0083,8.147,Aix,6.49,0.588,1.291
0,97,141.2,30.8,0.00924,9.569,Aix,6.825,0.68161,1.756
0,82,146.8,27.1,0.01244,7.886,Aix,6.1522,0.79689,1.545
0,116,107.4,27.7,0.00828,2.518,Aix,8.3024,-0.02409,0.549
0,64,104.7,26.0,0.01025,2.053,Aix,8.8051,0.03408,0.463
0,81,111.2,25.8,0.00626,3.135,Aix,8.8204,-0.57542,0.782
1,102,128.3,24.0,0.00658,2.539,Aix,9.0802,-0.44395,0.51
1,89,144.3,25.6,0.00742,2.16,Aix,5.9816,-0.66691,0.348
0,124,141.6,30.0,0.00863,2.542,Aix,5.7009,-0.37725,0.411
0,139,186.2,28.1,0.00844,5.222,Aix,6.3695,0.38634,0.684
0,176,170.3,27.1,0.01128,3.391,Aix,3.6056,0.33929,0.411
1,148,176.6,27.2,0.00896,8.967,Aix,6.3702,0.74098,1.491
0,156,166.6,27.4,0.00897,13.771,Aix,6.4351,0.79639,2.208
1,123,142.4,30.2,0.01025,17.158,Aix,7.1344,1.02557,3.107
1,149,244.1,33.3,0.00782,9.755,Aix,5.7009,0.66104,0.97
0,120,227.0,23.9,0.01232,17.013,Aix,3.467,0.99079,2.068
0,77,121.2,25.9,0.00929,4.712,Aix,8.1025,-0.41948,0.953
0,107,98.2,29.8,0.0043,3.937,Aix,11.5256,-0.67474,0.97
0,83,98.5,30.5,0.00619,3.0,Aix,12.1622,-0.7854,0.728
0,120,109.1,29.6,0.00375,3.605,Aix,10.9786,-0.7274,0.823
1,96,159.1,27.6,0.00608,3.907,Aix,7.0029,0.02856,0.628
1,98,143.7,27.8,0.00909,13.958,Aix,6.1847,0.88848,2.598
0,102,144.5,27.9,0.01151,15.724,Aix,6.3411,0.90837,2.953
0,144,253.4,29.1,0.00913,17.967,Aix,5.6727,0.71054,1.89
0,103,151.7,30.3,0.00995,9.202,Aix,6.8154,1.17939,1.487
0,113,150.3,31.4,0.01004,7.685,Aix,7.0214,1.26706,1.216
0,115,207.2,30.5,0.01224,7.961,Aix,5.8241,1.2925,0.853
1,117,122.0,29.0,0.00701,2.961,Aix,7.6538,-0.50456,0.579
1,93,102.7,26.5,0.0044,3.172,Aix,8.3648,-0.48503,0.743
0,93,132.0,29.8,0.00476,3.34,Aix,6.2514,0.12832,0.581
0,100,149.8,23.9,0.01123,2.643,Aix,5.0329,-0.36575,0.358
0,97,122.8,26.2,0.00743,3.118,Aix,14.2948,-0.82498,0.617
0,101,98.4,26.2,0.00428,3.778,Aix,14.1767,-0.85528,0.982
0,98,93.9,29.8,0.00464,3.572,Aix,10.8904,-0.77241,0.898
1,83,98.9,30.0,0.00518,1.852,Aix,10.4019,-0.90807,0.453
1,74,79.6,26.8,0.00629,2.079,Aix,12.14,-0.92565,0.605
0,118,103.7,27.0,0.00364,3.122,Aix,5.5902,-0.17985,0.666
0,109,126.7,25.1,0.00672,12.365,Aix,6.8819,0.95055,2.655
0,99,241.6,23.1,0.0138,9.918,Aix,3.9825,0.49734,1.008
0,85,102.3,28.6,0.00453,3.159,Aix,9.9765,-0.74995,0.737
1,92,78.5,28.6,0.00483,2.515,Aix,9.4403,-0.63503,0.744
1,92,100.2,28.4,0.00638,2.603,Aix,7.5007,-0.01333,0.572
0,109,135.6,26.4,0.00556,12.93,Aix,6.4444,0.84029,2.396
0,117,128.4,27.2,0.00985,5.479,Aix,6.6287,0.1974,0.968
1,91,118.1,24.1,0.0058,2.606,Aix,7.1449,0.1122,0.517
1,69,131.4,19.6,0.00902,4.453,Aix,6.5,-0.5325,0.766
0,83,126.5,23.0,0.00866,3.837,Aix,14.0014,-0.7955,0.724
0,71,103.9,25.9,0.00462,2.839,Aix,10.6832,-0.7523,0.652
0,105,147.6,26.4,0.00827,5.04,Aix,5.41202,0.28084,0.766
0,108,120.4,24.5,0.00693,7.581,Aix,6.73573,0.71185,1.408
0,86,113.9,26.1,0.00779,5.063,Aix,5.93633,-0.56931,0.852
1,26,187.3,21.7,0.01044,20.248,Aix,4.12311,0.39852,2.278
1,79,149.8,24.0,0.01226,5.145,Aix,2.69072,-0.73282,0.702
0,109,176.3,25.6,0.01088,6.182,Aix,6.31981,0.0792,0.761
0,138,192.4,27.2,0.00929,5.561,Aix,5.91692,0.53172,0.613
0,126,153.9,27.4,0.0065,10.126,Aix,5.63649,0.43984,1.488
0,100,132.1,25.6,0.01043,15.658,Aix,6.30079,0.94317,2.78
0,133,183.6,28.8,0.00874,15.225,Aix,5.45894,0.49642,1.787
1,112,157.0,28.4,0.00932,7.958,Aix,5.76975,0.44814,1.115
1,110,130.5,27.6,0.00816,11.647,Aix,5.59732,0.8486,1.986
0,104,90.2,21.2,0.01293,4.083,Aix,9.80306,-0.32175,1.052
0,71,85.1,19.5,0.01333,4.528,Aix,7.0214,-0.30373,0.838
0,86,92.6,19.9,0.01301,18.337,Aix,2.96816,0.56931,2.935
1,84,66.9,21.0,0.01359,9.213,Aix,2.30217,-1.52735,1.686
0,75,91.5,21.5,0.00773,4.522,Aix,5.72713,-0.43241,1.11
0,96,118.6,21.2,0.01044,11.1,Aix,4.68615,0.87606,2.043
0,87,116.8,24.6,0.00992,5.553,Aix,5.73847,-0.39345,0.999
0,105,148.4,25.9,0.00956,9.34,Aix,4.00125,-0.02499,1.24
0,60,75.8,17.9,0.00799,9.915,Aix,2.77308,-0.44752,2.766
0,112,139.6,20.4,0.00741,8.124,Aix,4.20476,-0.04758,1.221
0,117,154.7,20.4,0.00663,31.114,Aix,3.80789,0.23861,3.776
1,105,152.6,20.4,0.00975,18.402,Aix,2.65707,0.34556,2.339
1,46,67.2,15.0,0.00978,0.708,Als,4.44072,0.62549,0.264
1,92,82.7,18.0,0.01055,0.811,Als,3.96232,0.1776,0.23
0,68,100.1,15.8,0.00932,2.41,Als,0.41231,0.24498,0.638
0,85,80.5,17.1,0.01091,0.713,Als,3.61248,0.72664,0.229
0,96,74.8,18.0,0.00896,0.499,Als,5.21728,0.21243,0.158
0,114,56.1,19.7,0.00894,1.065,Als,1.97231,0.53172,0.444
0,127,72.2,21.5,0.00995,1.045,Als,3.2249,1.05165,0.348
1,140,123.2,22.3,0.00865,13.882,Als,5.66392,0.83536,2.94
1,131,98.0,23.6,0.01013,4.596,Als,6.88186,0.95055,1.154
0,84,126.5,23.9,0.01314,2.982,Als,1.52315,0.40489,0.538
0,126,211.7,26.0,0.01719,5.682,Als,3.70135,0.67052,0.622
0,102,98.5,22.4,0.01615,1.31,Als,3.16228,0.32175,0.282
0,75,118.5,19.8,0.01496,3.347,Als,4.3566,1.01463,0.757
0,79,88.2,18.1,0.01299,1.076,Als,5.99333,0.44872,0.289
1,99,81.8,20.5,0.0117,1.101,Als,1.30384,0.56673,0.319
1,92,119.8,20.7,0.01192,1.407,Als,2.88444,0.98279,0.273
0,70,69.4,17.6,0.00882,0.567,Als,6.92315,0.1889,0.186
0,70,66.7,19.4,0.01192,0.657,Als,2.97321,0.34302,0.207
0,73,58.4,22.3,0.01489,1.064,Als,2.8178,0.47952,0.354
0,64,75.4,23.9,0.01404,0.922,Als,6.60303,-0.03029,0.251
0,120,103.9,27.1,0.01399,5.676,Als,0.6,0.0,1.244
1,62,82.2,26.4,0.02058,1.103,Als,3.02655,0.13255,0.272
1,101,74.1,26.2,0.01725,1.676,Als,2.06155,0.88848,0.49
0,166,143.5,32.0,0.01734,8.674,Als,1.69706,0.7854,1.37
0,239,133.5,34.7,0.01906,6.254,Als,0.5,0.9273,0.959
0,184,183.8,29.2,0.02153,4.026,Als,4.38292,0.47385,0.491
0,87,100.1,25.2,0.02475,1.78,Als,5.09215,0.34038,0.318
0,103,127.7,25.1,0.02183,2.528,Als,1.14018,-1.30454,0.442
1,134,80.9,27.2,0.01876,1.54,Als,1.48661,0.73782,0.42
1,98,105.0,27.8,0.01808,3.178,Als,0.36056,-0.588,0.663
0,124,113.8,23.3,0.01488,3.849,Als,2.7313,0.41451,0.819
0,146,119.2,23.1,0.01047,3.831,Als,3.52278,0.60375,0.771
0,154,100.2,26.6,0.01173,1.357,Als,2.12132,0.7854,0.273
0,118,73.5,25.4,0.00992,0.592,Als,5.96657,0.23685,0.164
0,98,60.8,19.5,0.00972,0.724,Als,5.29528,-0.18999,0.281
1,95,48.8,18.6,0.00919,0.39,Als,4.62277,0.89268,0.178
1,110,80.8,21.4,0.01089,0.702,Als,4.52217,0.31476,0.194
0,117,86.5,25.8,0.01029,0.828,Als,4.08044,0.6288,0.202
0,63,63.3,18.8,0.01252,0.771,Als,6.22896,0.09647,0.271
0,69,51.0,20.1,0.0157,0.885,Als,8.62148,0.90874,0.355
0,76,77.8,18.2,0.01366,0.87,Als,5.09902,0.44611,0.253
0,109,108.8,23.0,0.01226,2.664,Als,0.31623,-0.32175,0.567
1,79,66.3,20.1,0.01488,0.649,Als,3.45398,0.38588,0.183
1,81,77.4,22.4,0.01368,1.225,Als,1.45602,0.2783,0.345
0,127,126.3,29.1,0.01264,3.341,Als,0.7,-1.57079,0.584
0,79,159.2,30.1,0.01376,1.66,Als,2.76586,0.86217,0.226
0,59,83.9,19.0,0.01388,0.754,Als,5.37122,0.42201,0.188
0,97,68.1,21.6,0.01166,0.676,Als,2.6,-0.39479,0.207
0,132,193.6,25.0,0.01367,5.321,Als,3.20156,0.25255,0.623
1,84,104.3,23.0,0.01309,0.989,Als,0.9434,0.5586,0.182
0,27,122.7,22.1,0.02082,2.742,Als,2.14009,0.91795,0.444
0,31,84.2,18.0,0.01849,1.264,Als,3.33766,-0.15037,0.312
0,69,59.1,19.4,0.01456,4.062,Als,3.04138,0.47835,1.768
0,107,79.5,21.6,0.01206,3.704,Als,3.36155,0.53022,1.285
1,135,116.7,27.6,0.01025,1.039,Als,2.40832,0.84415,0.179
1,99,96.8,24.8,0.00896,0.793,Als,7.21249,0.29544,0.177
0,116,77.6,21.5,0.01156,0.684,Als,3.70135,0.90027,0.186
0,120,80.7,24.7,0.01293,0.79,Als,4.52769,0.75416,0.212
0,71,119.0,23.8,0.01287,1.036,Als,6.08276,0.16515,0.173
0,91,139.3,21.8,0.01134,1.535,Als,3.7855,0.21294,0.226
0,86,121.8,22.4,0.01419,1.595,Als,2.37697,0.38832,0.263
1,126,125.1,25.7,0.01703,2.097,Als,6.12209,0.90116,0.349
1,114,142.0,27.2,0.01572,2.629,Als,5.72014,0.93429,0.386
0,139,159.2,29.1,0.01723,3.9,Als,4.67547,0.72487,0.493
0,142,185.7,29.7,0.0188,3.962,Als,4.245,0.75208,0.436
0,92,115.6,24.2,0.01843,1.279,Als,2.69072,0.73282,0.218
0,163,97.7,29.5,0.01351,0.955,Als,3.78021,0.91671,0.181
1,173,124.6,32.9,0.01446,1.141,Als,3.05287,0.55165,0.168
1,169,153.2,35.0,0.01539,1.762,Als,2.95466,0.41822,0.209
0,210,135.2,35.6,0.014,1.14,Als,4.2638,0.88507,0.153
0,226,125.7,36.2,0.01295,0.736,Als,5.73149,0.74838,0.105
0,206,132.6,34.4,0.0097,1.662,Als,4.96488,0.97162,0.238
0,214,117.5,35.7,0.00912,1.737,Als,4.03113,0.80294,0.281
0,161,140.6,36.3,0.0138,0.789,Als,4.245,0.81872,0.102
1,185,137.4,36.4,0.01607,1.841,Als,3.36155,1.04058,0.301
1,147,154.0,34.8,0.0133,2.693,Als,3.64005,0.2783,0.331
0,208,125.9,33.2,0.0071,1.452,Als,3.74833,0.76653,0.224
0,219,173.9,36.8,0.0099,2.994,Als,2.19317,-1.14794,0.327
0,204,132.4,37.4,0.01181,0.697,Als,4.92544,-0.10169,0.1
0,157,138.6,29.5,0.01754,1.616,Als,4.17732,0.1927,0.207
1,139,76.6,25.0,0.01029,1.301,Als,5.1,0.48996,0.355
1,156,128.6,27.0,0.01169,2.17,Als,5.39073,0.86418,0.325
1,168,155.8,31.7,0.01598,2.958,Als,4.005,0.04996,0.329
0,98,83.5,24.4,0.0162,0.95,Als,8.13941,0.18535,0.197
0,114,90.5,27.2,0.01411,0.557,Als,3.44819,-0.51555,0.101
1,126,61.5,26.4,0.00714,2.918,Als,3.53553,0.7854,0.89
0,113,112.4,27.7,0.00728,1.68,Als,6.4195,0.31682,0.257
0,66,79.0,15.1,0.00751,1.399,Als,6.13922,0.21337,0.311
1,60,102.4,14.6,0.00827,2.078,Als,0.53852,-1.19029,0.432
1,79,78.0,12.6,0.00769,1.193,Als,9.97246,0.27417,0.31
1,80,78.5,10.9,0.00567,1.495,Als,6.08358,0.44159,0.466
0,99,74.9,12.4,0.00517,0.997,Als,3.60555,0.0555,0.317
0,82,78.2,13.4,0.00376,1.167,Als,1.43178,1.3597,0.366
0,92,82.6,13.9,0.0033,1.51,Als,4.62277,0.89268,0.463
0,99,78.5,17.5,0.00425,1.535,Als,8.45044,0.87757,0.444
1,69,82.4,14.8,0.0098,1.75,Als,9.41116,0.82297,0.429
1,95,75.7,16.7,0.0049,1.579,Als,2.92746,-0.13707,0.486
0,71,99.8,17.6,0.00601,2.443,Als,4.50444,1.52638,0.526
0,74,78.2,14.2,0.00735,2.505,Als,5.25547,1.20089,0.728
0,83,76.3,15.0,0.00448,1.533,Als,3.58469,1.04473,0.497
0,92,94.8,17.2,0.00559,2.209,Als,1.33417,-1.344,0.542
0,99,64.0,22.7,0.00783,2.681,Als,2.55539,0.53371,0.836
1,91,77.0,19.2,0.01011,2.058,Als,2.86007,0.63651,0.526
1,79,56.4,16.1,0.00945,2.418,Als,1.2083,-0.42663,0.945
0,58,55.6,14.5,0.01327,1.994,Als,5.80517,0.73666,0.803
0,101,73.4,19.4,0.0096,1.422,Als,2.26274,0.7854,0.42
0,100,106.0,24.5,0.01034,1.918,Als,2.90689,1.50194,0.379
0,149,128.2,28.3,0.01325,2.959,Als,1.9105,-1.46592,0.464
0,140,155.6,30.7,0.01532,2.2,Als,2.5632,1.21203,0.278
1,141,115.1,31.1,0.01759,2.204,Als,2.77849,1.04272,0.38
1,178,126.0,29.6,0.01802,1.582,Als,3.7108,1.32582,0.218
0,54,103.2,19.6,0.01722,1.65,Als,6.64078,0.32175,0.322
0,103,94.3,17.6,0.0098,1.582,Als,1.62788,0.18535,0.388
0,129,100.4,23.2,0.00671,1.416,Als,3.80789,1.1659,0.298
0,132,107.5,28.2,0.00777,2.109,Als,4.46542,0.97658,0.387
1,81,100.3,19.7,0.00746,1.049,Als,7.61577,0.5224,0.231
1,76,101.2,20.2,0.00602,0.907,Als,6.67608,0.28859,0.197
0,46,97.7,18.1,0.00831,1.839,Als,6.30317,0.84152,0.413
0,80,81.8,17.5,0.00377,0.887,Als,5.18941,1.13301,0.263
0,91,101.3,17.9,0.00555,1.228,Als,5.51543,1.18019,0.279
0,109,103.8,19.0,0.00706,1.446,Als,1.40357,-0.07131,0.294
1,51,63.4,16.5,0.00747,2.396,Als,1.02956,0.5071,0.863
1,101,78.4,18.9,0.00627,1.776,Als,1.21655,-1.40565,0.536
0,121,85.9,21.9,0.00683,0.915,Als,2.10238,0.44237,0.226
0,132,114.8,24.6,0.00754,1.959,Als,1.58114,0.96525,0.351
0,92,103.6,25.0,0.00865,1.126,Als,2.60768,-0.07677,0.225
0,94,90.9,26.4,0.01211,0.994,Als,3.50143,-0.02856,0.206
1,124,94.3,26.2,0.00714,1.826,Als,6.71193,1.07383,0.4
1,124,91.8,27.8,0.00726,1.263,Als,7.64003,0.92468,0.279
0,162,146.4,30.9,0.00779,2.048,Als,6.12944,1.07796,0.291
0,174,132.8,31.4,0.00948,2.243,Als,3.55106,0.56457,0.346
0,164,134.0,29.3,0.00779,1.466,Als,4.24382,0.60107,0.226
0,196,138.6,30.7,0.00846,1.584,Als,4.87032,1.23606,0.233
0,179,141.8,32.6,0.01084,1.308,Als,3.19061,1.00887,0.175
1,84,107.1,23.9,0.01372,1.519,Als,4.81041,0.75599,0.276
1,156,143.8,27.3,0.01092,2.171,Als,2.40416,0.7854,0.322
0,152,148.8,29.8,0.0106,1.636,Als,1.3,-1.17601,0.22
0,215,156.3,30.8,0.01082,2.578,Als,4.51885,1.13684,0.338
0,78,113.8,27.6,0.01196,1.337,Als,4.30116,0.30705,0.232
0,94,84.7,23.1,0.011,0.945,Als,5.02892,0.30288,0.219
0,73,78.3,21.1,0.00831,0.932,Als,6.23939,0.37753,0.248
1,59,52.5,20.7,0.01222,1.577,Als,3.11127,0.7854,0.535
1,99,157.4,25.9,0.01228,3.235,Als,1.14018,0.90975,0.446
0,53,101.0,17.4,0.01132,1.505,Als,8.15414,0.5846,0.288
0,44,71.5,19.8,0.01089,1.07,Als,5.34509,0.304,0.292
0,48,89.1,16.7,0.00853,1.514,Als,5.004,-0.03998,0.359
0,63,88.4,17.0,0.00891,1.385,Als,1.64012,0.6557,0.333
1,117,121.4,21.1,0.00995,1.758,Als,5.0,0.9273,0.294
1,109,93.5,24.3,0.01412,1.454,Als,5.81808,1.14559,0.316
0,73,111.0,26.2,0.00896,1.419,Als,6.17414,1.13613,0.251
0,131,105.2,26.3,0.01053,1.324,Als,6.0,0.9273,0.247
0,142,105.7,28.6,0.00814,1.414,Als,5.73062,1.06031,0.258
1,181,126.0,29.9,0.00765,2.989,Als,2.59615,1.29779,0.469
0,150,104.6,30.0,0.01184,2.287,Als,4.03113,0.80294,0.419
1,128,107.8,25.6,0.0143,1.356,Als,5.71402,0.99736,0.238
1,119,148.6,29.0,0.00699,1.799,Als,4.11825,0.5071,0.241
0,98,133.9,28.5,0.01,1.391,Als,7.59539,0.15866,0.193
0,82,98.0,21.4,0.00962,1.446,Als,6.77791,0.37777,0.305
0,60,86.0,23.2,0.00892,1.396,Als,8.59593,0.51049,0.301
